t,dt,u1,u2,ref
2.6226043701171875e-06,36.83311605453491,0.0,0.0,15.0
36.833861351013184,1.03159761428833,-7.428475715315341,-23.58910605835915,15.0
37.866360664367676,0.9970805644989014,-5.045215604002772,-11.28075699337721,15.0
38.86417078971863,0.9952538013458252,-7.823069249254466,-15.619385238623618,15.0
39.86019802093506,0.9964568614959717,-4.9579715435579415,-12.321836933219435,15.0
40.85759687423706,1.0068354606628418,-2.1895292595565317,-4.907018772602082,15.0
41.86509609222412,0.9834742546081543,-0.139737811024487,-0.6463471124470235,15.0
42.84927272796631,1.0005712509155273,0.5353579849079252,0.48234949324727056,15.0
43.85052561759949,1.004709005355835,0.11386697530001402,-0.20221997512280945,15.0
44.85603451728821,1.0025439262390137,0.35264763013273476,0.16519664110913865,15.0
45.8593909740448,0.9957363605499268,-0.06182585271522407,-0.4982828748449687,15.0
46.85586929321289,1.013167142868042,-0.6978533941559493,-0.9288821745797993,15.0
47.86987328529358,1.0003304481506348,-1.3237832365088165,-1.3225788339063524,15.0
48.871010303497314,1.0009186267852783,-0.980898391931504,-0.9394252439543603,15.0
49.872623682022095,0.999441385269165,-0.7364750107459723,-1.15439216785878,15.0
50.87282752990723,1.0015184879302979,-1.2739712020806966,-1.8832289712116124,15.0
51.875062704086304,0.9979732036590576,-0.8731134042076765,0.6340009121611713,15.0
52.87400674819946,1.0015473365783691,-1.0375949034295975,1.4477092661932112,15.0
53.87632608413696,1.0031063556671143,-0.2678142801724374,2.5849336830928924,15.0
54.880220890045166,1.0002954006195068,-0.42978508532568815,1.2653353088423611,15.0
55.881269216537476,1.0051395893096924,-0.2581824103169144,-0.7843172210052607,15.0
56.88719725608826,0.9958930015563965,-0.45542538215443495,-2.3947711930587885,15.0
57.88388991355896,0.9969627857208252,-0.333554834084958,-2.8555183971479536,15.0
58.88160991668701,1.0071043968200684,-0.970742152493447,-0.31535491036921776,15.0
59.88940215110779,1.001760482788086,-0.5909053860954939,0.06318110036104903,15.0
60.89196515083313,1.0024166107177734,-0.3081021014980973,1.3624654694005847,15.0
61.895116567611694,0.9982545375823975,0.09637827470861382,2.3801310082882643,15.0
62.89418077468872,0.999887228012085,-0.32149128585886216,2.5980518463082616,15.0
63.894803285598755,0.9963288307189941,0.0669841797418894,2.0063526334449646,15.0
64.89182305335999,0.9995970726013184,0.0468816479699686,0.42297123056128605,15.0
65.89221382141113,1.0054991245269775,-0.4236085409574209,0.3008346937343484,15.0
66.8984522819519,0.999852180480957,0.5205807086534797,-0.6909954785242676,15.0
67.89906358718872,0.9955892562866211,0.3625349088199437,-0.9229201072648163,15.0
68.89543652534485,1.0029988288879395,0.4402864959843456,-1.2485872943595042,15.0
69.89927315711975,1.011453628540039,0.5547276996858419,-1.9007237279370435,15.0
70.91152715682983,0.9956932067871094,0.19241445378139618,-1.7695627584651101,15.0
71.90788006782532,0.9996955394744873,0.19744661235883856,-1.0415951524689797,15.0
72.9083194732666,0.9941835403442383,-0.7930662237755951,1.5556647793933742,15.0
73.90315651893616,1.000563383102417,-0.4373665582649409,1.2655825966760526,15.0
74.90442872047424,0.9996812343597412,0.04293541542366136,0.04171935251206133,15.0
75.90479898452759,0.999964714050293,0.14650480418279752,0.2906162951514121,15.0
76.90545558929443,1.001786231994629,-0.1068197964541614,1.8412623687431222,15.0
77.90802073478699,1.0166866779327393,0.5767297875054179,3.8224130155131224,15.0
78.92539310455322,0.98404860496521,0.2751302926786243,4.679057888178527,15.0
79.91018509864807,1.000720500946045,0.12749740966632953,0.6390096568509936,15.0
80.91156148910522,0.9897069931030273,-0.04279626632854299,0.6125153272554268,15.0
81.90211486816406,0.9958987236022949,0.41806500431373717,-0.0686159573033464,15.0
82.8987684249878,1.015413522720337,0.25081815118864187,-2.525928897507489,15.0
83.91486597061157,1.0061473846435547,0.08317912571504693,-1.2241481957271698,15.0
84.92179131507874,0.9823246002197266,-0.07102512941285981,-1.9962957091644413,15.0
85.90482139587402,1.0232117176055908,0.05149738116338879,-1.705651251299679,15.0
86.92876052856445,1.0252017974853516,-0.6469141151063144,3.5038259723827245,15.0
87.9546890258789,0.9645984172821045,-0.27617129533216384,1.9994626928254957,15.0
88.92000913619995,1.0041344165802002,-0.5805267714135344,-0.5601780376508827,15.0
89.92482924461365,0.9941632747650146,0.16097259948328152,-0.12278854389935602,15.0
90.9196527004242,1.0004374980926514,0.1575242130048571,0.4346449697896857,15.0
91.9208390712738,1.0044269561767578,0.7145146899707615,0.9240410260125971,15.0
92.92611932754517,0.9953172206878662,0.3072367786534132,0.19909764441698696,15.0
93.92234992980957,1.0084898471832275,0.13701510632112632,-0.7594838737562292,15.0
94.93146991729736,0.998661994934082,0.37337971286848204,1.227870894186198,15.0
95.93080186843872,0.9967710971832275,0.9551218049533662,1.235245008842645,15.0
96.92843341827393,1.0007083415985107,-0.8134363607637585,-0.03410172904282896,15.0
