t,dt,u1,u2,u3,u4
4.76837158203125e-07,0.6565020084381104,0.0,0.0,0.0,0.0
0.6566271781921387,1.0002562999725342,0.03,0.03,0.03,0.03
1.657015323638916,1.0016882419586182,0.04,0.04,0.04,0.04
2.6588213443756104,1.0004968643188477,0.05,0.05,0.05,0.05
3.659437894821167,1.0010921955108643,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005
4.660661935806274,1.000978946685791,0.07,0.07,0.07,0.07
5.661760091781616,1.000755786895752,0.08,0.08,0.08,0.08
6.662632942199707,1.0009419918060303,0.09,0.09,0.09,0.09
7.663689613342285,1.000960350036621,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999
8.664805889129639,1.001063346862793,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999
9.666061162948608,1.0003776550292969,0.11999999999999998,0.11999999999999998,0.11999999999999998,0.11999999999999998
10.666562557220459,1.0003619194030762,0.12999999999999998,0.12999999999999998,0.12999999999999998,0.12999999999999998
11.667033672332764,1.0001659393310547,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999
12.667308568954468,1.0013031959533691,0.15,0.15,0.15,0.15
13.668746709823608,1.000544786453247,0.16,0.16,0.16,0.16
14.669464588165283,1.0008232593536377,0.17,0.17,0.17,0.17
15.670398712158203,1.0011825561523438,0.18000000000000002,0.18000000000000002,0.18000000000000002,0.18000000000000002
16.671688556671143,1.0010650157928467,0.19000000000000003,0.19000000000000003,0.19000000000000003,0.19000000000000003
17.672872066497803,1.0006229877471924,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
18.673603773117065,1.0012288093566895,0.21000000000000005,0.21000000000000005,0.21000000000000005,0.21000000000000005
19.67499279975891,1.0007445812225342,0.22000000000000006,0.22000000000000006,0.22000000000000006,0.22000000000000006
20.675857543945312,1.0010452270507812,0.23000000000000007,0.23000000000000007,0.23000000000000007,0.23000000000000007
21.67706060409546,1.0005414485931396,0.24000000000000007,0.24000000000000007,0.24000000000000007,0.24000000000000007
22.677722215652466,1.0009040832519531,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006
23.678752899169922,1.0013012886047363,0.26000000000000006,0.26000000000000006,0.26000000000000006,0.26000000000000006
24.68019723892212,1.000572681427002,0.2700000000000001,0.2700000000000001,0.2700000000000001,0.2700000000000001
25.680906295776367,1.0008485317230225,0.2800000000000001,0.2800000000000001,0.2800000000000001,0.2800000000000001
26.681891202926636,1.000960350036621,0.2900000000000001,0.2900000000000001,0.2900000000000001,0.2900000000000001
27.682979345321655,1.0005896091461182,0.3000000000000001,0.3000000000000001,0.3000000000000001,0.3000000000000001
28.68369483947754,1.0006535053253174,0.3100000000000001,0.3100000000000001,0.3100000000000001,0.3100000000000001
29.684494018554688,1.0014421939849854,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001
30.686065673828125,1.0007853507995605,0.3300000000000001,0.3300000000000001,0.3300000000000001,0.3300000000000001
31.686976432800293,1.000938892364502,0.34000000000000014,0.34000000000000014,0.34000000000000014,0.34000000000000014
32.688133001327515,1.0001952648162842,0.36000000000000015,0.36000000000000015,0.36000000000000015,0.36000000000000015
33.688448905944824,1.0014057159423828,0.37000000000000016,0.37000000000000016,0.37000000000000016,0.37000000000000016
34.689987897872925,1.0005087852478027,0.38000000000000017,0.38000000000000017,0.38000000000000017,0.38000000000000017
35.69060659408569,1.0009315013885498,0.3900000000000002,0.3900000000000002,0.3900000000000002,0.3900000000000002
36.69164299964905,1.0010206699371338,0.4000000000000002,0.4000000000000002,0.4000000000000002,0.4000000000000002
37.69277095794678,1.0010755062103271,0.4100000000000002,0.4100000000000002,0.4100000000000002,0.4100000000000002
38.69395589828491,1.000870704650879,0.4200000000000002,0.4200000000000002,0.4200000000000002,0.4200000000000002
39.73909378051758,0.9557485580444336,0.4300000000000002,0.4300000000000002,0.4300000000000002,0.4300000000000002
40.694939613342285,1.0015146732330322,0.4400000000000002,0.4400000000000002,0.4400000000000002,0.4400000000000002
41.696568965911865,1.001551866531372,0.45000000000000023,0.45000000000000023,0.45000000000000023,0.45000000000000023
42.69823956489563,1.000385046005249,0.46000000000000024,0.46000000000000024,0.46000000000000024,0.46000000000000024
43.698753118515015,1.0009949207305908,0.47000000000000025,0.47000000000000025,0.47000000000000025,0.47000000000000025
44.69986152648926,1.0009870529174805,0.48000000000000026,0.48000000000000026,0.48000000000000026,0.48000000000000026
45.70102524757385,1.0009589195251465,0.49000000000000027,0.49000000000000027,0.49000000000000027,0.49000000000000027
46.702088356018066,1.000664234161377,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002
47.70287728309631,1.001250982284546,0.5100000000000002,0.5100000000000002,0.5100000000000002,0.5100000000000002
48.70424199104309,1.0008697509765625,0.5200000000000002,0.5200000000000002,0.5200000000000002,0.5200000000000002
49.70521855354309,1.0015761852264404,0.5300000000000002,0.5300000000000002,0.5300000000000002,0.5300000000000002
50.706907749176025,1.0008950233459473,0.5400000000000003,0.5400000000000003,0.5400000000000003,0.5400000000000003
51.70793128013611,0.9999384880065918,0.5500000000000003,0.5500000000000003,0.5500000000000003,0.5500000000000003
52.70799803733826,1.0015389919281006,0.5600000000000003,0.5600000000000003,0.5600000000000003,0.5600000000000003
53.70965886116028,1.001950740814209,0.5700000000000003,0.5700000000000003,0.5700000000000003,0.5700000000000003
54.711745262145996,1.000014305114746,0.5800000000000003,0.5800000000000003,0.5800000000000003,0.5800000000000003
