t,dt,xf1,xf2,xf3,xf4
2.86102294921875e-06,1.3217296600341797,15.967373,16.97374,3.5758843,2.4400017
1.322474718093872,1.0007407665252686,13.247158,16.091516,3.9698079,2.7641375
2.323845624923706,1.0004825592041016,9.372065,10.668285,1.0216763,1.0671998
3.325040578842163,1.006479024887085,6.000397,5.9277377,-0.37153155,0.24685235
4.332118272781372,0.996431827545166,2.4650006,2.4506679,-0.41552764,-0.4070671
5.3291966915130615,1.003065824508667,0.45175883,-0.22602712,0.26519936,-0.8546422
6.332940340042114,0.998908519744873,0.21318004,-0.33806667,-0.009353227,-0.7855192
7.332545518875122,0.9978349208831787,0.48399684,0.70881784,0.43476146,-0.771705
8.331194162368774,1.0141525268554688,-0.06307652,1.136413,0.5200376,-0.57956797
9.346072912216187,0.985490083694458,0.92356825,0.8298553,0.4944858,-0.009265228
10.3323073387146,1.0018272399902344,0.874208,1.1265157,0.7134785,0.189959
11.335087537765503,0.9995977878570557,0.9016566,1.8552393,0.86852497,0.07999082
12.335479736328125,1.0018248558044434,2.147409,1.5905432,0.6996998,0.5853178
13.337890625,1.000190258026123,1.2634635,1.3592695,0.7279658,0.3540512
14.338934421539307,0.9981155395507812,1.4338365,1.0345291,0.5668184,0.24914117
15.337899208068848,1.0047180652618408,1.312141,-0.22139226,0.06815355,0.56289357
16.34348177909851,0.9964759349822998,1.350884,0.29118195,0.6580538,0.3850095
17.340774297714233,1.0007977485656738,1.5376697,1.9826692,1.3316814,0.18961282
18.34248638153076,1.002194881439209,1.2211394,3.3780026,2.0257387,0.07094999
19.345433712005615,0.9989700317382812,1.6562381,3.7547574,1.7582659,0.19830008
20.3450870513916,1.002253532409668,1.3633752,4.266175,2.038576,0.2795243
21.348271131515503,1.000685691833496,2.0625997,2.991652,0.9307553,0.4184682
22.349729776382446,1.0027432441711426,1.841331,3.6801867,1.3350375,0.32081625
23.353091955184937,0.9961888790130615,1.54073,2.9792218,0.8001608,0.33068296
24.349984884262085,0.9993987083435059,0.66640997,2.0307345,0.27356976,-0.1493936
