t,dt,xf1,xf2,xf3,xf4
3.5762786865234375e-06,1.6376476287841797,8.650352,16.142424,3.5689802,1.0036784
1.639115571975708,1.0010173320770264,6.019442,7.8639746,0.09436895,0.4433238
2.6409878730773926,0.9993345737457275,9.192805,10.897541,0.6445377,0.9661346
3.6409897804260254,0.9974617958068848,6.0279946,8.683619,0.08620097,0.4518649
4.639123916625977,1.0030086040496826,2.8553832,3.7485282,-0.6674917,-0.22198015
5.642818450927734,0.9867773056030273,0.42472488,1.0033292,0.10747601,-0.94537264
6.630225896835327,1.0003108978271484,-0.26614732,0.3485411,-0.13877462,-0.66223055
7.631225824356079,1.0027987957000732,0.25872642,0.9871005,0.12167288,-0.7190507
8.634731769561768,0.9990663528442383,0.018498726,0.8719882,0.3755577,-0.60614353
9.634469509124756,1.0006110668182373,0.49608546,1.442253,0.9240186,-0.20451719
10.635762453079224,1.0122616291046143,1.2453808,1.8558635,1.1235327,0.2433464
11.648722171783447,1.0023508071899414,2.001057,2.2400205,1.1303378,0.7044818
12.651806831359863,0.9995973110198975,1.6809238,2.1223257,1.035198,0.5921642
13.652343273162842,1.001277208328247,1.4619793,2.4221141,1.2119166,0.34844893
14.654252052307129,0.9991364479064941,2.0575821,3.0513923,1.8948183,0.4607131
15.654271125793457,0.9996778964996338,1.7087473,1.5174388,0.8289938,0.14624852
16.654582500457764,1.000777006149292,1.9533705,1.0941771,0.49326566,0.47178084
17.656041383743286,1.0033714771270752,1.114817,0.47637638,0.61100626,0.24936527
18.660223722457886,1.001321792602539,1.3169178,1.5272092,1.357868,0.1880545
19.662210941314697,1.0005652904510498,1.1848015,3.0425746,2.0558636,0.16261643
20.663519620895386,1.0007109642028809,1.4755367,4.264618,2.454784,0.11138672
21.66486382484436,0.9966614246368408,1.4141945,4.687338,2.4914181,0.11670011
22.662173986434937,1.0075321197509766,2.230552,3.0940483,1.1409171,0.45456046
23.670497179031372,0.9957027435302734,1.86564,2.9669464,1.0735254,0.3604291
24.66720223426819,1.0047242641448975,1.6167282,2.2277133,0.6400106,0.28000063
25.672607421875,1.002732276916504,1.2146763,1.703204,0.49930885,-0.04328138
26.67596197128296,0.9980604648590088,1.7183603,1.7110347,0.5549514,0.010660825
27.674750804901123,0.9954605102539062,1.2873214,2.2211883,1.2919393,0.14151376
28.67095685005188,1.0034418106079102,1.3482317,3.43179,1.9959724,0.022604642
29.675121545791626,0.9996447563171387,1.9288782,3.6241977,1.9620997,0.3572989
30.675511121749878,1.0019545555114746,0.929539,4.4025784,2.4972105,0.11328453
31.678130865097046,0.9978184700012207,1.1793398,4.66516,2.4282737,0.275634
32.67662262916565,1.004201889038086,1.1554245,5.0082397,2.5387669,0.13658756
33.68153429031372,1.003006935119629,1.0830559,5.55472,2.817902,0.09379023
34.68519425392151,1.0022099018096924,1.5376705,5.5866594,2.8057582,0.06533784
35.688066720962524,0.9956822395324707,1.612183,5.2019453,2.3879418,0.09540194
36.68440580368042,0.9997954368591309,2.7937987,3.5562637,1.1837313,0.62875503
37.68487620353699,0.9997069835662842,2.4527543,3.8833253,1.339966,0.42416626
38.6852912902832,1.0007679462432861,1.9520515,4.8298197,2.011614,0.17871445
39.68670654296875,1.000046730041504,1.9056829,4.7689247,1.8445742,0.2138235
40.68768310546875,1.0006649494171143,2.2583354,3.8298862,1.1755477,0.45683533
41.68910336494446,1.0068697929382324,1.5425981,2.6157691,0.7561488,0.30975646
42.69675064086914,0.9943604469299316,1.9064392,2.2005556,0.71869564,0.17118257
43.69202470779419,1.001187801361084,2.054392,5.0396395,2.6283793,0.2178151
44.69376087188721,0.9868910312652588,2.3000004,5.1601496,2.6065836,0.34969467
45.681190490722656,1.0017352104187012,1.8175596,5.7288647,3.13396,0.118346155
46.68363308906555,1.0010697841644287,2.02057,7.466339,4.2383995,0.24492306
47.68533158302307,1.0024843215942383,2.2846434,6.6630325,3.5958674,0.48270434
48.688451051712036,0.99609375,2.5347512,7.269784,3.612547,0.57982916
49.6853244304657,1.0165832042694092,2.4709637,7.168111,3.3896873,0.47821707
50.702619552612305,1.0045757293701172,3.3478339,3.7525394,1.1911271,0.92831904
51.707802534103394,0.9949276447296143,2.9539444,4.894868,2.0370293,0.6441111
52.70351719856262,1.0009639263153076,3.319547,6.7176323,3.0269892,0.74862367
53.70516347885132,0.9974501132965088,2.548649,6.537709,3.0133874,0.26681775
54.70345330238342,0.9990699291229248,2.6313708,6.231183,2.5989509,0.55976313
55.70335650444031,1.0067486763000488,2.0771,6.0065737,2.4499047,0.30508417
56.710729360580444,0.9968047142028809,2.5656664,6.59171,2.7938776,0.43200237
57.708205461502075,1.0062899589538574,2.7862608,7.334939,3.279957,0.38947457
58.715166330337524,0.9978082180023193,2.595546,6.086482,2.519397,0.353203
59.71364951133728,0.9995481967926025,2.0589106,6.187729,2.1367943,0.10566133
60.713884353637695,1.001086711883545,4.0110908,7.1207724,2.8430314,0.83559436
61.715662240982056,0.9987003803253174,2.9699519,7.2103453,2.7485414,0.24677962
62.71515512466431,1.003553867340088,3.7721016,7.296913,2.5399964,0.35101384
63.71963095664978,0.9965527057647705,3.4744341,7.339102,2.399718,0.3563295
